TimeElapsed,time,territoryName,totalMandates,availableMandates,numParishes,numParishesApproved,blankVotes,blankVotesPercentage,nullVotes,nullVotesPercentage,votersPercentage,subscribedVoters,totalVoters,pre.blankVotes,pre.blankVotesPercentage,pre.nullVotes,pre.nullVotesPercentage,pre.votersPercentage,pre.subscribedVoters,pre.totalVoters,Party,Mandates,Percentage,validVotesPercentage,Votes,Hondt,FinalMandates
210,2019-10-06 23:40:01,Santarém,9,0,141,141,6022,2.91,4011,1.94,54.38,380489,206918,5142,2.26,3967,1.74,57.87,393314,227620,NC,0,0.39,0.41,814,0,0
30,2019-10-06 20:40:02,Santarém,0,9,141,40,609,2.65,495,2.16,56.78,40414,22948,525,2.03,530,2.05,59.47,43503,25872,PDR,0,0.28,0.29,64,0,0
5,2019-10-06 20:15:02,Beja,0,3,75,23,125,1.69,136,1.84,52.24,14136,7384,122,1.37,140,1.57,58.12,15357,8926,MPT,0,0.27,0.28,20,0,0
5,2019-10-06 20:15:02,Aveiro,0,16,147,12,186,2.92,101,1.59,53.3,11953,6371,124,1.82,111,1.63,54.56,12511,6826,CH,0,0.57,0.59,36,0,0
40,2019-10-06 20:50:01,Coimbra,0,9,155,32,376,3.5,284,2.65,51.33,20899,10728,272,2.22,269,2.2,54.27,22576,12251,PCTP/MRPP,0,0.48,0.52,52,0,0
245,2019-10-07 00:15:01,Braga,19,0,347,347,14504,3.12,8029,1.72,59.83,778173,465570,10708,2.26,6112,1.29,60.21,787768,474341,PPM,0,0.09,0.1,428,0,0
165,2019-10-06 22:55:02,Vila Real,5,0,197,197,2258,2.25,2397,2.39,45.76,219087,100260,1919,1.74,1960,1.78,48.26,228497,110273,L,0,0.55,0.57,549,0,0
175,2019-10-06 23:05:01,Faro,9,0,67,67,4903,2.84,3064,1.77,45.83,376800,172697,4286,2.25,3079,1.62,51.38,370764,190484,NC,0,0.43,0.45,735,0,0
235,2019-10-07 00:05:01,Bragança,3,0,226,226,1306,2.06,1416,2.23,44.89,141541,63534,1189,1.71,1408,2.02,47.23,147465,69644,IL,0,0.43,0.45,271,0,0
140,2019-10-06 22:30:01,Território Nacional,132,94,3092,3008,106482,2.64,73603,1.82,53.92,7488419,4037607,91135,2.13,70716,1.65,56.29,7599779,4278178,L,0,0.93,0.97,37520,2,1
200,2019-10-06 23:30:01,Território Nacional,188,38,3092,3075,124265,2.59,84848,1.77,54.32,8832539,4797822,107212,2.12,82243,1.62,56.77,8927216,5068106,B.E.,15,9.6,10.03,460417,23,19
35,2019-10-06 20:45:02,Portalegre,0,2,69,23,136,1.86,139,1.9,57.36,12730,7302,140,1.65,105,1.24,61.67,13766,8489,PURP,0,0.25,0.26,18,0,0
90,2019-10-06 21:40:02,Faro,3,6,67,63,4260,2.88,2643,1.79,45.85,322247,147740,3705,2.27,2631,1.61,51.29,318340,163264,PNR,0,0.41,0.43,608,0,0
140,2019-10-06 22:30:01,Braga,13,6,347,342,14127,3.11,7853,1.73,59.81,760585,454874,10457,2.26,5971,1.29,60.17,770296,463476,L,0,0.68,0.72,3110,0,0
225,2019-10-06 23:55:01,Braga,19,0,347,347,14504,3.12,8029,1.72,59.83,778173,465570,10708,2.26,6112,1.29,60.21,787768,474341,PPD/PSD,8,34.08,35.81,158652,8,8
210,2019-10-06 23:40:01,Bragança,3,0,226,226,1306,2.06,1416,2.23,44.89,141541,63534,1189,1.71,1408,2.02,47.23,147465,69644,PAN,0,1.31,1.37,831,0,0
255,2019-10-07 00:25:01,Bragança,3,0,226,226,1306,2.06,1416,2.23,44.89,141541,63534,1189,1.71,1408,2.02,47.23,147465,69644,R.I.R.,0,0.57,0.59,360,0,0
130,2019-10-06 22:20:02,Leiria,4,6,110,108,7041,3.61,4602,2.36,53.41,364681,194787,5973,2.85,4194,2.0,55.85,375399,209660,B.E.,0,9.1,9.68,17731,1,1
0,2019-10-06 20:10:02,Porto,0,40,243,21,223,1.93,230,1.99,54.31,21271,11553,168,1.36,213,1.73,55.08,22356,12314,MAS,0,0.09,0.09,10,0,0
200,2019-10-06 23:30:01,Leiria,10,0,110,110,8202,3.67,5152,2.3,53.87,414969,223540,6902,2.89,4699,1.97,56.26,423801,238433,CDS-PP,0,5.33,5.66,11905,0,0
30,2019-10-06 20:40:02,Vila Real,0,5,197,94,584,2.04,779,2.72,44.04,65127,28685,509,1.57,608,1.87,46.49,69775,32439,A,0,0.49,0.51,140,0,0
40,2019-10-06 20:50:01,Faro,0,9,67,15,239,3.26,149,2.03,52.16,14071,7340,197,2.37,158,1.9,56.47,14706,8304,PPM,0,0.31,0.33,23,0,0
105,2019-10-06 21:55:01,Coimbra,3,6,155,151,5868,3.46,3405,2.01,52.73,322032,169797,5039,2.73,3152,1.71,55.44,333455,184862,CDS-PP,0,3.27,3.46,5556,0,0
115,2019-10-06 22:05:02,Beja,3,0,75,75,1371,2.13,1094,1.7,52.26,122987,64269,1230,1.65,1132,1.52,57.77,128926,74485,PS,2,40.71,42.33,26161,2,2
255,2019-10-07 00:25:01,Aveiro,16,0,147,147,10642,3.02,6375,1.81,54.55,645655,352179,9163,2.49,6130,1.67,56.31,653597,368071,CH,0,0.74,0.78,2600,0,0
215,2019-10-06 23:45:02,Beja,3,0,75,75,1371,2.13,1094,1.7,52.26,122987,64269,1230,1.65,1132,1.52,57.77,128926,74485,PNR,0,0.31,0.32,200,0,0
110,2019-10-06 22:00:02,Coimbra,3,6,155,151,5868,3.46,3405,2.01,52.73,322032,169797,5039,2.73,3152,1.71,55.44,333455,184862,PAN,0,2.57,2.72,4361,0,0
225,2019-10-06 23:55:01,Faro,9,0,67,67,4900,2.84,3069,1.78,45.83,376801,172699,4286,2.25,3079,1.62,51.38,370764,190484,R.I.R.,0,0.6,0.63,1035,0,0
100,2019-10-06 21:50:01,Leiria,3,7,110,100,6231,3.7,4121,2.45,54.14,310750,168236,5240,2.89,3699,2.04,56.35,321229,181028,PAN,0,2.64,2.81,4438,0,0
70,2019-10-06 21:20:02,Coimbra,1,8,155,126,3848,3.61,2338,2.2,51.91,205076,106449,3211,2.73,2194,1.86,54.83,214675,117704,CH,0,0.98,1.04,1038,0,0
125,2019-10-06 22:15:01,Lisboa,7,41,134,86,8997,2.38,5960,1.58,57.49,656467,377417,7971,2.01,6063,1.53,60.6,654169,396408,PCP-PEV,0,8.54,8.9,32242,4,4
